classid,moodleclass
2020-2021T4E!$688!$E!$EHSS-1!$PRO-1A,EHSS-01-PRO-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-1!$VB-1A," -2020-2021T4E"
2020-2021T4E!$688!$E!$EHSS-2!$PRO-1B,EHSS-02-PRO-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-2!$VB-1B,EHSS-02-3D-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-4!$PRO-2B,EHSS-04-PRO-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-4!$V-2B,EHSS-04-VEN-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-6!$PRO-3B,EHSS-06-PRO-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-6!$V-3B,EHSS-06-VEN-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-9!$RE-03,EHSS-09-R-2020-2021T4E
2020-2021T4E!$688!$E!$EHSS-9!$V-5A,EHSS-09-3D-2020-2021T4E
2021T1E!$582!$A!$A-1!$COM-1-NEW,IEAP-1W-2021T1E
2021T1E!$582!$A!$A-1!$INTER-1,IEAP-1G-2021T1E
2021T1E!$582!$A!$A-2!$INTER-2,IEAP-2G-2021T1E
2021T1E!$582!$A!$A-2!$RE-2,IEAP-2W-2021T1E
2021T1E!$582!$E!$E-1!$COM-1-NEW,IEAP-1W-2021T1E
2021T1E!$582!$E!$E-1!$INTER-1,IEAP-1G-2021T1E
2021T1E!$582!$E!$E-2!$INTER-2,IEAP-2G-2021T1E
2021T1E!$582!$E!$E-2!$RE-2,IEAP-2W-2021T1E
2021T1E!$582!$E!$E-3!$INTER-3,IEAP-3G-2021T1E
2021T1E!$582!$E!$E-3!$RE-3,IEAP-3W-2021T1E
2021T1E!$582!$E!$E-4!$BP-07,IEAP-4G-2021T1E
2021T1E!$582!$E!$E-4!$RE-04,EHSS-11-R-2021T1E
2021T1E!$582!$E!$E/BEGINNER!$BP-2,IEAP-BG-2021T1E
2021T1E!$582!$E!$E/BEGINNER!$RE-FOUND,IEAP-BW-2021T1E
2021T1E!$582!$E!$PRE-BEGINNER/E!$BP-1,IEAP-PG-2021T1E
2021T1E!$582!$E!$PRE-BEGINNER/E!$INTER-BEG,IEAP-PW-2021T1E
2021T1E!$582!$M!$M-1!$COM-1-NEW,IEAP-1W-2021T1E
2021T1E!$582!$M!$M-1!$INTER-1,IEAP-1G-2021T1E
2021T1E!$582!$M!$M-3!$INTER-3,IEAP-3G-2021T1E
2021T1E!$582!$M!$M-3!$RE-3,IEAP-3W-2021T1E
2021T1E!$582!$M!$M-4!$BP-07,IEAP-4G-2021T1E
2021T1E!$582!$M!$M-4!$RE-04,EHSS-11-R-2021T1E
2021T1E!$582!$M!$M/BEGINNER!$BP-2,IEAP-BG-2021T1E
2021T1E!$582!$M!$M/BEGINNER!$RE-FOUND,IEAP-BW-2021T1E
2021T1E!$582!$M!$PRE-BEGINNER/M!$BP-1,IEAP-PG-2021T1E
2021T1E!$582!$M!$PRE-BEGINNER/M!$INTER-BEG,IEAP-PW-2021T1E
2021T1E!$632!$E!$PRE-B2/E!$PRE-B2-NEW,GESL-PB2-2021T1E
2021T1E!$688!$E!$EHSS-1!$PRO-1A,EHSS-01-PRO-2021T1E
2021T1E!$688!$E!$EHSS-1!$VB-1A,EHSS-01-3D-2021T1E
2021T1E!$688!$E!$EHSS-12!$RE-04,EHSS-11-R-2021T1E
2021T1E!$688!$E!$EHSS-12!$V-6B,EHSS-12-3D-2021T1E
2021T1E!$688!$E!$EHSS-4!$PRO-2B,EHSS-04-PRO-2021T1E
2021T1E!$688!$E!$EHSS-4!$V-2B,EHSS-04-VEN-2021T1E
2021T1E!$688!$E!$EHSS-6!$PRO-3B,EHSS-06-PRO-2021T1E
2021T1E!$688!$E!$EHSS-6!$V-3B,EHSS-06-VEN-2021T1E
2021T1E!$688!$E!$EHSS-8!$RE-02,EHSS-08-R-2021T1E
2021T1E!$688!$E!$EHSS-8!$V-4B,EHSS-08-VEN-2021T1E
2021T2T2E!$582!$E!$E-1!$COM-1-NEW,IEAP-1W-2021T2T2E
2021T2T2E!$582!$E!$E-1!$INTER-1,IEAP-1G-2021T2T2E
2021T2T2E!$582!$E!$E-2!$INTER-2,IEAP-2G-2021T2T2E
2021T2T2E!$582!$E!$E-2!$RE-2,IEAP-2W-2021T2T2E
2021T2T2E!$582!$E!$E-3!$INTER-3,IEAP-3G-2021T2T2E
2021T2T2E!$582!$E!$E-3!$RE-3,IEAP-3W-2021T2T2E
2021T2T2E!$582!$E!$E-4!$BP-07,IEAP-4G-2021T2T2E
2021T2T2E!$582!$E!$E-4!$RE-04,EHSS-11-R-2021T2T2E
2021T2T2E!$582!$E!$E/BEGINNER!$BP-2,IEAP-BG-2021T2T2E
2021T2T2E!$582!$E!$E/BEGINNER!$RE-FOUND,IEAP-BW-2021T2T2E
2021T2T2E!$582!$E!$PRE-BEGINNER/E!$BP-1,IEAP-PG-2021T2T2E
2021T2T2E!$582!$E!$PRE-BEGINNER/E!$INTER-BEG,IEAP-PW-2021T2T2E
2021T2T2E!$582!$M!$M-1!$COM-1-NEW,IEAP-1W-2021T2T2E
2021T2T2E!$582!$M!$M-1!$INTER-1,IEAP-1G-2021T2T2E
2021T2T2E!$582!$M!$M-2!$INTER-2,IEAP-2G-2021T2T2E
2021T2T2E!$582!$M!$M-2!$RE-2,IEAP-2W-2021T2T2E
2021T2T2E!$582!$M!$M-4!$BP-07,IEAP-4G-2021T2T2E
2021T2T2E!$582!$M!$M-4!$RE-04,EHSS-11-R-2021T2T2E
2021T2T2E!$582!$M!$M/BEGINNER!$BP-2,IEAP-BG-2021T2T2E
2021T2T2E!$582!$M!$M/BEGINNER!$RE-FOUND,IEAP-BW-2021T2T2E
2021T2T2E!$632!$E!$PRE-B2/E!$PRE-B2-NEW,GESL-PB2-2021T2T2E
2021T2T2E!$688!$E!$EHSS-11!$RE-04,EHSS-11-R-2021T2T2E
2021T2T2E!$688!$E!$EHSS-11!$V-6A,NULL-2021T2T2E
2021T2T2E!$688!$E!$EHSS-1A!$PRO-1A,EHSS-01-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-1A!$VB-1A,EHSS-01-3D-2021T2T2E
2021T2T2E!$688!$E!$EHSS-1B!$PRO-1A,EHSS-01-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-1B!$VB-1A,EHSS-01-3D-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2A!$PRO-1B,EHSS-02-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2A!$VB-1B,EHSS-02-3D-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2B!$PRO-1B,EHSS-02-PRO-2021T2T2E
2021T2T2E!$688!$E!$EHSS-2B!$VB-1B,EHSS-02-3D-2021T2T2E
